attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,sequence_length,step_index,steps_per_block,use_cache
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[16, 16]",16709881344,16496299520,16713698816,217399296,207.328125,15939.42529296875,2,33,51.151015009963885,96,4,57,refine,"[25, 25]",33,153,3,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[15, 15]",16708505088,16496741888,16712338944,215597056,205.609375,15938.12841796875,2,34,51.234953018138185,96,4,57,refine,"[25, 25]",34,153,4,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[14, 14]",16709438976,16494923264,16713272832,218349568,208.234375,15939.01904296875,2,35,51.25427999882959,96,4,57,refine,"[25, 25]",35,153,5,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[13, 13]",16709930496,16497675776,16713747968,216072192,206.0625,15939.47216796875,2,36,51.582510001026094,96,4,57,refine,"[25, 25]",36,153,6,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[12, 12]",16708079104,16495414784,16711896576,216481792,206.453125,15937.70654296875,2,37,51.32707700249739,96,4,57,refine,"[25, 25]",37,153,7,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[11, 11]",16708079104,16495824384,16711896576,216072192,206.0625,15937.70654296875,2,38,51.380396995227784,96,4,57,refine,"[25, 25]",38,153,8,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[10, 10]",16708079104,16495414784,16711896576,216481792,206.453125,15937.70654296875,2,39,51.443917996948585,96,4,57,refine,"[25, 25]",39,153,9,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[9, 9]",16708079104,16495824384,16711896576,216072192,206.0625,15937.70654296875,2,40,51.289837021613494,96,4,57,refine,"[25, 25]",40,153,10,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[8, 8]",16708079104,16495414784,16711896576,216481792,206.453125,15937.70654296875,2,41,51.67012501624413,96,4,57,refine,"[25, 25]",41,153,11,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[7, 7]",16708079104,16495824384,16711896576,216072192,206.0625,15937.70654296875,2,42,51.36341601610184,96,4,57,refine,"[25, 25]",42,153,12,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[6, 6]",16708079104,16495414784,16711896576,216481792,206.453125,15937.70654296875,2,43,51.31211900152266,96,4,57,refine,"[25, 25]",43,153,13,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[5, 5]",16708079104,16495824384,16711896576,216072192,206.0625,15937.70654296875,2,44,51.59585498040542,96,4,57,refine,"[25, 25]",44,153,14,32,True
153,306,1,"[[0, 32], [0, 32]]",32,prefix,2,True,"[4, 4]",16708079104,16495414784,16711896576,216481792,206.453125,15937.70654296875,2,45,51.57998501090333,96,4,57,refine,"[25, 25]",45,153,15,32,True
153,306,2,"[[89, 121], [89, 121]]",32,prefix,2,False,"[32, 32]",16733853696,16495826944,16738867200,243040256,231.78125,15963.427734375,2,46,73.57284502359107,153,4,,warmup,"[25, 25]",46,153,0,32,True
153,306,3,"[[121, 153], [121, 153]]",32,prefix,2,False,"[32, 32]",16733018112,16495009792,16738031616,243021824,231.763671875,15962.630859375,2,47,73.4330499835778,153,4,,warmup,"[25, 25]",47,153,0,32,True
153,612,0,"[[25, 57], [25, 57], [25, 57], [25, 57]]",32,prefix,4,False,"[32, 32, 32, 32]",16524041728,16044318208,16534068736,489750528,467.0625,15768.11669921875,4,0,110.79150400473736,153,4,,warmup,"[25, 25, 25, 25]",0,153,0,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[31, 31, 31, 31]",16974412800,16524049408,16983456768,459407360,438.125,16196.6865234375,4,1,99.30688099120744,128,4,25,refine,"[25, 25, 25, 25]",1,153,1,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[30, 30, 30, 30]",17425407488,16974421504,17434385920,459964416,438.65625,16626.72607421875,4,2,98.32764198654331,128,4,25,refine,"[25, 25, 25, 25]",2,153,2,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[29, 29, 29, 29]",17425407488,16975044096,17434451456,459407360,438.125,16626.78857421875,4,3,98.30849600257352,128,4,25,refine,"[25, 25, 25, 25]",3,153,3,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[26, 26, 26, 26]",17425407488,16974421504,17434451456,460029952,438.71875,16626.78857421875,4,4,98.44919200986624,128,4,25,refine,"[25, 25, 25, 25]",4,153,4,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[25, 25, 25, 25]",17425407488,16975044096,17434451456,459407360,438.125,16626.78857421875,4,5,98.29765500035137,128,4,25,refine,"[25, 25, 25, 25]",5,153,5,32,True
