attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,replace_position_count,sequence_length,step_index,steps_per_block,use_cache
153,306,3,"[[121, 153], [121, 153]]",32,dual,2,False,"[32, 32]",16700600832,16462772736,16705614336,242841600,231.591796875,15931.71533203125,2,44,72.8551130159758,153,4,,warmup,"[25, 25]",44,,153,0,32,True
153,612,0,"[[25, 57], [25, 57], [25, 57], [25, 57]]",32,dual,4,False,"[32, 32, 32, 32]",16524085248,16044361728,16534112256,489750528,467.0625,15768.158203125,4,0,110.94598099589348,153,4,,warmup,"[25, 25, 25, 25]",0,,153,0,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[31, 31, 31, 31]",16556567040,16524093952,16571871744,47777792,45.564453125,15804.16845703125,4,1,54.18564399587922,32,4,153,refine,"[25, 25, 25, 25]",1,128,153,1,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[30, 30, 30, 30]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,2,53.88991499785334,32,4,153,refine,"[25, 25, 25, 25]",2,128,153,2,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[29, 29, 29, 29]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,3,53.51083999266848,32,4,153,refine,"[25, 25, 25, 25]",3,128,153,3,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[26, 26, 26, 26]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,4,53.474820975679904,32,4,153,refine,"[25, 25, 25, 25]",4,128,153,4,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[25, 25, 25, 25]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,5,53.50471899146214,32,4,153,refine,"[25, 25, 25, 25]",5,128,153,5,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[24, 24, 24, 24]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,6,53.48711399710737,32,4,153,refine,"[25, 25, 25, 25]",6,128,153,6,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[23, 23, 23, 23]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,7,53.411331988172606,32,4,153,refine,"[25, 25, 25, 25]",7,128,153,7,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[22, 22, 22, 22]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,8,53.4542630193755,32,4,153,refine,"[25, 25, 25, 25]",8,128,153,8,32,True
