batch_size,end_ms,latency_ms,memory_mb,oom,operation_index,phase,policy,request_ids,start_ms
4,22585.76359983083,53.804001658047525,46.439453125,False,383,refine,current_memory_admission,"36,37,38,39",22531.95959817278
4,22696.186041581244,110.4224417504156,467.0625,False,384,warmup,current_memory_admission,"32,33,34,35",22585.76359983083
4,22749.990043239293,53.804001658047525,46.439453125,False,385,refine,current_memory_admission,"32,33,34,35",22696.186041581244
4,22803.794044897342,53.804001658047525,46.439453125,False,386,refine,current_memory_admission,"32,33,34,35",22749.990043239293
4,22857.59804655539,53.804001658047525,46.439453125,False,387,refine,current_memory_admission,"32,33,34,35",22803.794044897342
4,22911.40204821344,53.804001658047525,46.439453125,False,388,refine,current_memory_admission,"32,33,34,35",22857.59804655539
4,22965.20604987149,53.804001658047525,46.439453125,False,389,refine,current_memory_admission,"32,33,34,35",22911.40204821344
4,23019.010051529538,53.804001658047525,46.439453125,False,390,refine,current_memory_admission,"32,33,34,35",22965.20604987149
4,23072.814053187587,53.804001658047525,46.439453125,False,391,refine,current_memory_admission,"32,33,34,35",23019.010051529538
4,23126.618054845636,53.804001658047525,46.439453125,False,392,refine,current_memory_admission,"32,33,34,35",23072.814053187587
4,23180.422056503685,53.804001658047525,46.439453125,False,393,refine,current_memory_admission,"32,33,34,35",23126.618054845636
4,23234.226058161734,53.804001658047525,46.439453125,False,394,refine,current_memory_admission,"32,33,34,35",23180.422056503685
4,23344.64849991215,110.4224417504156,467.0625,False,395,warmup,current_memory_admission,"36,37,38,39",23234.226058161734
4,23398.4525015702,53.804001658047525,46.439453125,False,396,refine,current_memory_admission,"36,37,38,39",23344.64849991215
4,23452.256503228247,53.804001658047525,46.439453125,False,397,refine,current_memory_admission,"36,37,38,39",23398.4525015702
4,23506.060504886296,53.804001658047525,46.439453125,False,398,refine,current_memory_admission,"36,37,38,39",23452.256503228247
4,23559.864506544345,53.804001658047525,46.439453125,False,399,refine,current_memory_admission,"36,37,38,39",23506.060504886296
4,23613.668508202394,53.804001658047525,46.439453125,False,400,refine,current_memory_admission,"36,37,38,39",23559.864506544345
4,23667.472509860443,53.804001658047525,46.439453125,False,401,refine,current_memory_admission,"36,37,38,39",23613.668508202394
4,23721.276511518492,53.804001658047525,46.439453125,False,402,refine,current_memory_admission,"36,37,38,39",23667.472509860443
